

z(m), Y
-2e-06, 0.953068
-1.9688e-06, 0.953183
-1.9376e-06, 0.953505
-1.9064e-06, 0.954008
-1.87519e-06, 0.954641
-1.84399e-06, 0.955331
-1.81279e-06, 0.955998
-1.78159e-06, 0.956558
-1.75039e-06, 0.956946
-1.71919e-06, 0.957112
-1.68798e-06, 0.957038
-1.65678e-06, 1.39878
-1.62558e-06, 1.12768
-1.59438e-06, 0.819365
-1.56318e-06, 0.484429
-1.53198e-06, 0.13821
-1.50078e-06, 0.230328
-1.46957e-06, 0.576266
-1.43837e-06, 0.905268
-1.40717e-06, 1.20466
-1.37597e-06, 1.46427
-1.34477e-06, 1.6754
-1.31357e-06, 1.83101
-1.28237e-06, 1.92593
-1.25116e-06, 1.95701
-1.21996e-06, 1.9232
-1.18876e-06, 1.82562
-1.15756e-06, 1.66753
-1.12636e-06, 1.45417
-1.09516e-06, 1.19265
-1.06395e-06, 0.891732
-1.03275e-06, 0.561652
-1.00155e-06, 0.215311
-9.7035e-07, 0.152739
-9.39149e-07, 0.499407
-9.07947e-07, 0.83358
-8.76746e-07, 1.14064
-8.45544e-07, 1.41007
-8.14343e-07, 1.63281
-7.83141e-07, 1.80147
-7.5194e-07, 1.91042
-7.20738e-07, 1.95607
-6.89537e-07, 1.93691
-6.58335e-07, 1.85362
-6.27134e-07, 1.70905
-5.95932e-07, 1.50816
-5.64731e-07, 1.2579
-5.33529e-07, 0.967142
-5.02328e-07, 0.646667
-4.71126e-07, 0.309827
-4.39925e-07, 0.0571638
-4.08723e-07, 0.36445
-3.77522e-07, 0.6511
-3.4632e-07, 0.863281
-3.19553e-07, 0.932356
-2.96781e-07, 0.842218
-2.8016e-07, 0.632077
-2.6803e-07, 0.378658
-2.59177e-07, 0.143368
-2.52716e-07, 0.0541202
-2.48e-07, 0.195347
-2.43284e-07, 0.162318
-2.38568e-07, 0.135133
-2.33853e-07, 0.112822
-2.29137e-07, 0.0945708
-2.24421e-07, 0.0796963
-2.19705e-07, 0.0676121
-2.14989e-07, 0.0578262
-2.10274e-07, 0.0499227
-2.05558e-07, 0.0435484
-2.00842e-07, 0.0384158
-1.96126e-07, 0.0342786
-1.91411e-07, 0.0309456
-1.86695e-07, 0.0282499
-1.81979e-07, 0.0260647
-1.77263e-07, 0.024283
-1.72547e-07, 0.0228191
-1.67832e-07, 0.0216069
-1.63116e-07, 0.0205902
-1.584e-07, 0.0197259
-1.53684e-07, 0.0189788
-1.48968e-07, 0.0183223
-1.44253e-07, 0.0177336
-1.39537e-07, 0.017195
-1.34821e-07, 0.0166907
-1.30105e-07, 0.0162107
-1.25389e-07, 0.0157455
-1.20674e-07, 0.0152884
-1.15958e-07, 0.0148266
-1.11242e-07, 0.0143618
-1.06526e-07, 0.0138838
-1.01811e-07, 0.0133861
-9.70947e-08, 0.0128648
-9.23789e-08, 0.0123097
-8.76632e-08, 0.0117173
-8.29474e-08, 0.0110749
-7.82316e-08, 0.010372
-7.35158e-08, 0.00959466
-6.88e-08, 0.00872813
-6.40842e-08, 0.00774909
-5.93684e-08, 0.00663882
-5.46526e-08, 0.00536475
-4.99368e-08, 0.00390094
-4.52211e-08, 0.00221357
-4.05053e-08, 0.000348774
-3.57895e-08, 0.0020187
-3.10737e-08, 0.00457227
-2.63579e-08, 0.00745096
-2.16421e-08, 0.0106223
-1.69263e-08, 0.0140198
-1.22105e-08, 0.0175197
-7.49474e-09, 0.0209517
-2.77895e-09, 0.0240946
1.93684e-09, 0.0267285
6.65263e-09, 0.0286534
1.13684e-08, 0.0297639
1.60842e-08, 0.030033
2.08e-08, 0.0295365
2.55158e-08, 0.0283963
3.02316e-08, 0.0267757
3.49474e-08, 0.0248234
3.96632e-08, 0.0226936
4.43789e-08, 0.0204932
4.90947e-08, 0.0183201
5.38105e-08, 0.0162336
5.85263e-08, 0.0142796
6.32421e-08, 0.0124814
6.79579e-08, 0.0108525
7.26737e-08, 0.00939029
7.73895e-08, 0.00809493
8.21053e-08, 0.00695295
8.68211e-08, 0.00595378
9.15368e-08, 0.00508746
9.62526e-08, 0.00433364
1.00968e-07, 0.00368726
1.05684e-07, 0.0031289
1.104e-07, 0.00265487
1.15116e-07, 0.00224463
1.19832e-07, 0.00189994
1.24547e-07, 0.00160336
1.29263e-07, 0.00135259
1.33979e-07, 0.00114157
1.38695e-07, 0.000960644
1.43411e-07, 0.000810701
1.48126e-07, 0.000681525
1.52842e-07, 0.000574675
1.57558e-07, 0.00048274
1.62274e-07, 0.000407719
1.66989e-07, 0.000344059
1.71705e-07, 0.000289946
1.76421e-07, 0.000246105
1.81137e-07, 0.000211503
1.85853e-07, 0.000179314
1.90568e-07, 0.000156504
1.95284e-07, 0.000134645
2e-07, 0.000121657


