new_parameter, Y
0, 0.00546189
5, 0.0116383
10, 0.02998
15, 0.0599293
20, 0.100577
25, 0.150687
30, 0.208737
35, 0.272974
40, 0.341424
45, 0.412019
50, 0.482616
55, 0.551067
60, 0.615294
65, 0.673339
70, 0.723444
75, 0.764086
80, 0.793996
85, 0.812232
90, 0.817888
95, 0.812232
100, 0.793996
105, 0.764086
110, 0.723444
115, 0.673339
120, 0.615294
125, 0.551067
130, 0.482616
135, 0.412019
140, 0.341424
145, 0.272974
150, 0.208737
155, 0.150687
160, 0.100577
165, 0.0599293
170, 0.02998
175, 0.0116383
180, 0.00546189
185, 0.0116383
190, 0.02998
195, 0.0599293
200, 0.100577
205, 0.150687
210, 0.208737
215, 0.272974
220, 0.341424
225, 0.412019
230, 0.482616
235, 0.551067
240, 0.615294
245, 0.673339
250, 0.723444
255, 0.764086
260, 0.793996
265, 0.812232
270, 0.817888
275, 0.812232
280, 0.793996
285, 0.764086
290, 0.723444
295, 0.673339
300, 0.615294
305, 0.551067
310, 0.482616
315, 0.412019
320, 0.341424
325, 0.272974
330, 0.208737
335, 0.150687
340, 0.100577
345, 0.0599293
350, 0.02998
355, 0.0116383
360, 0.00546189
